delta;pwm;rpm
4;0;0
8;0;0
12;0;0
16;0;0
20;0;0
24;0;0
28;0;0
32;0;0
36;0;0
40;0;0
44;0;0
48;0;0
52;0;0
56;0;0
60;0;0
64;0;0
68;0;0
72;0;0
76;0;0
80;0;0
84;0;0
88;0;0
92;0;0
96;0;0
100;0;0
104;0;0
108;0;0
112;0;0
116;0;0
120;0;0
124;0;0
128;0;0
132;0;0
140;0;0
144;0;0
148;0;0
152;0;0
156;0;0
160;0;0
164;0;0
168;0;0
172;0;0
176;0;0
180;0;0
184;0;0
188;0;0
192;0;0
196;0;0
200;0;0
204;0;0
208;0;0
212;0;0
216;0;0
220;0;0
224;0;0
228;0;0
232;0;0
236;0;0
240;0;0
244;0;0
248;0;0
252;0;0
256;0;0
260;0;0
264;0;0
268;0;0
303;0;0
307;0;0
311;0;0
315;0;0
319;0;0
323;0;0
327;0;0
331;0;0
335;0;0
339;0;0
343;0;0
347;0;0
351;0;0
355;0;0
359;0;0
363;0;0
367;0;0
371;0;0
375;0;0
379;0;0
383;0;0
390;0;0
394;0;0
398;0;0
402;0;0
406;0;0
410;0;0
414;0;0
418;0;0
422;0;0
426;0;0
430;0;0
434;0;0
438;0;0
442;0;0
446;0;0
450;0;0
454;0;0
458;0;0
462;0;0
466;0;0
470;0;0
474;0;0
478;0;0
482;0;0
486;0;0
490;0;0
494;0;0
498;0;0
502;0;0
506;0;0
510;0;0
514;0;0
518;0;0
522;0;0
526;0;0
530;0;0
534;0;0
538;0;0
542;0;0
546;0;0
550;0;0
554;0;0
558;0;0
562;0;0
566;0;0
570;0;0
574;0;0
578;0;0
582;0;0
586;0;0
590;0;0
594;0;0
598;0;0
602;0;0
608;0;0
612;0;0
616;0;0
620;0;0
624;0;0
628;0;0
632;0;0
636;0;0
640;0;0
644;0;0
648;0;0
652;0;0
656;0;0
660;0;0
664;0;0
668;0;0
672;0;0
676;0;0
680;0;0
684;0;0
688;0;0
692;0;0
696;0;0
700;0;0
704;0;0
708;0;0
712;0;0
716;0;0
720;0;0
724;0;0
728;0;0
732;0;0
736;0;0
740;0;0
744;0;0
748;0;0
752;0;0
756;0;0
760;0;0
764;0;0
768;0;0
772;0;0
776;0;0
780;0;0
784;0;0
788;0;0
792;0;0
796;0;0
800;0;0
804;0;0
808;0;0
812;0;0
816;0;0
822;0;0
826;0;0
830;0;0
834;0;0
838;0;0
842;0;0
846;0;0
850;0;0
854;0;0
858;0;0
862;0;0
866;0;0
870;0;0
874;0;0
878;0;0
882;0;0
886;0;0
890;0;0
894;0;0
898;0;0
902;0;0
906;0;0
910;0;0
914;0;0
918;0;0
922;0;0
926;0;0
930;0;0
934;0;0
938;0;0
942;0;0
946;0;0
950;0;0
954;0;0
958;0;0
962;0;0
966;0;0
970;0;0
974;0;0
978;0;0
982;0;0
986;0;0
990;0;0
994;0;0
998;0;0
1002;0;0
1006;0;0
1010;0;0
1014;0;0
1018;0;0
1022;0;0
1026;0;0
1030;0;0
1036;0;0
1040;0;0
1044;0;0
1048;0;0
1052;0;0
1056;0;0
1060;0;0
1064;0;0
1068;0;0
1072;0;0
1076;0;0
1080;0;0
1084;0;0
1088;0;0
1092;0;0
1096;0;0
1100;0;0
1104;0;0
1108;0;0
1112;0;0
1116;0;0
1120;0;0
1124;0;0
1128;0;0
1132;0;0
1136;0;0
1140;0;0
1144;0;0
1148;0;0
1152;0;0
1156;0;0
1160;0;0
1164;0;0
1168;0;0
1172;0;0
1176;0;0
1180;0;0
1184;0;0
1188;0;0
1192;0;0
1196;0;0
1200;0;0
1204;0;0
1208;0;0
1212;0;0
1216;0;0
1220;0;0
1224;0;0
1228;0;0
1232;0;0
1236;0;0
1240;0;0
1244;0;0
1248;0;0
1254;0;0
1258;0;0
1262;0;0
1266;0;0
1270;0;0
1274;0;0
1278;0;0
1282;0;0
1286;0;0
1290;0;0
1294;0;0
1298;0;0
1302;0;0
1306;0;0
1310;0;0
1314;0;0
1318;0;0
1322;0;0
1326;0;0
1330;0;0
1334;0;0
1338;0;0
1342;0;0
1346;0;0
1350;0;0
1354;0;0
1358;0;0
1362;0;0
1366;0;0
1370;0;0
1374;0;0
1378;0;0
1382;0;0
1386;0;0
1390;0;0
1394;0;0
1398;0;0
1402;0;0
1406;0;0
1410;0;0
1414;0;0
1418;0;0
1422;0;0
1426;0;0
1430;0;0
1434;0;0
1438;0;0
1442;0;0
1446;0;0
1450;0;0
1454;0;0
1458;0;0
1462;0;0
1468;0;0
1472;0;0
1476;0;0
1480;0;0
1484;0;0
1488;0;0
1492;0;0
1496;0;0
1500;0;0
1504;0;0
1508;0;0
1512;0;0
1516;0;0
1520;0;0
1524;0;0
1528;0;0
1532;0;0
1536;0;0
1540;0;0
1544;0;0
1548;0;0
1552;0;0
1556;0;0
1560;0;0
1564;0;0
1568;0;0
1572;0;0
1576;0;0
1580;0;0
1584;0;0
1588;0;0
1592;0;0
1596;0;0
1600;0;0
1604;0;0
1608;0;0
1612;0;0
1616;0;0
1620;0;0
1624;0;0
1628;0;0
1632;0;0
1636;0;0
1640;0;0
1644;0;0
1648;0;0
1652;0;0
1656;0;0
1660;0;0
1664;0;0
1668;0;0
1672;0;0
1676;0;0
1680;0;0
1686;0;0
1690;0;0
1694;0;0
1698;0;0
1702;0;0
1706;0;0
1710;0;0
1714;0;0
1718;0;0
1722;0;0
1726;0;0
1730;0;0
1734;0;0
1738;0;0
1742;0;0
1746;0;0
1750;0;0
1754;0;0
1758;0;0
1762;0;0
1766;0;0
1770;0;0
1774;0;0
1778;0;0
1782;0;0
1786;0;0
1790;0;0
1794;0;0
1798;0;0
1802;0;0
1806;0;0
1810;0;0
1814;0;0
1818;0;0
1822;0;0
1826;0;0
1830;0;0
1834;0;0
1838;0;0
1842;0;0
1846;0;0
1850;0;0
1854;0;0
1858;0;0
1862;0;0
1866;0;0
1870;0;0
1874;0;0
1878;0;0
1882;0;0
1886;0;0
1890;0;0
1894;0;0
1900;0;0
1904;0;0
1908;0;0
1912;0;0
1916;0;0
1920;0;0
1924;0;0
1928;0;0
1932;0;0
1936;0;0
1940;0;0
1944;0;0
1948;0;0
1952;0;0
1956;0;0
1960;0;0
1964;0;0
1968;0;0
1972;0;0
1976;0;0
1980;0;0
1984;0;0
1988;0;0
2018;0;0
2118;20;750
2122;20;0
2126;20;750
2130;20;750
2138;20;750
2142;20;750
2146;20;0
2150;20;750
2154;20;0
2158;20;750
2162;20;0
2166;20;750
2170;20;0
2174;20;750
2178;20;0
2182;20;750
2186;20;750
2190;20;0
2194;20;1500
2198;20;0
2202;20;1500
2206;20;750
2210;20;0
2214;20;750
2218;20;0
2222;20;750
2226;20;750
2230;20;750
2234;20;1500
2238;20;750
2242;20;750
2246;20;0
2250;20;750
2254;20;750
2258;20;750
2262;20;0
2266;20;750
2270;20;750
2274;20;750
2278;20;750
2282;20;1500
2286;20;0
2290;20;750
2294;20;750
2298;20;750
2302;20;750
2306;20;750
2310;20;1500
2314;20;1500
2318;20;1500
2322;20;750
2326;20;1500
2330;20;1500
2334;20;1500
2338;20;1500
2342;20;1500
2346;20;1500
2350;20;0
2354;20;2250
2361;20;2250
2365;20;1500
2369;20;1500
2373;20;1500
2377;20;750
2381;20;750
2385;20;1500
2389;20;1500
2393;20;750
2397;20;1500
2401;20;750
2405;20;750
2409;20;2250
2413;20;750
2417;20;1500
2421;20;750
2425;20;750
2429;20;1500
2433;20;750
2437;20;1500
2441;20;1500
2445;20;750
2449;20;1500
2453;20;750
2457;20;750
2461;20;750
2465;20;1500
2469;20;750
2473;20;750
2477;20;750
2481;20;750
2485;20;750
2489;20;1500
2493;20;750
2497;20;1500
2501;20;2250
2505;20;1500
2509;20;1500
2513;20;750
2517;20;750
2521;20;2250
2525;20;750
2529;20;750
2533;20;750
2537;20;1500
2541;20;750
2545;20;750
2549;20;1500
2553;20;1500
2557;20;750
2561;20;1500
2565;20;750
2569;20;750
2573;20;1500
2577;20;750
2581;20;750
2585;20;1500
2593;20;1500
2597;20;750
2601;20;1500
2605;20;750
2609;20;1500
2613;20;750
2617;20;750
2621;20;1500
2625;20;1500
2629;20;1500
2633;20;750
2637;20;750
2641;20;1500
2645;20;750
2649;20;750
2653;20;1500
2657;20;750
2661;20;750
2665;20;1500
2669;20;750
2673;20;2250
2677;20;1500
2681;20;2250
2685;20;750
2689;20;1500
2693;20;750
2697;20;750
2701;20;2250
2705;20;750
2709;20;1500
2713;20;1500
2717;20;750
2721;20;1500
2725;20;750
2729;20;1500
2733;20;750
2737;20;1500
2741;20;1500
2745;20;1500
2749;20;750
2753;20;1500
2757;20;750
2761;20;1500
2765;20;750
2769;20;750
2773;20;1500
2777;20;750
2781;20;3000
2785;20;1500
2789;20;750
2793;20;1500
2797;20;750
2801;20;1500
2805;20;750
2809;20;3000
2813;20;1500
2817;20;750
2825;20;2250
2829;20;1500
2833;20;750
2837;20;1500
2841;20;1500
2845;20;750
2849;20;1500
2853;20;750
2857;20;1500
2861;20;750
2865;20;2250
2869;20;750
2873;20;1500
2877;20;750
2881;20;1500
2885;20;750
2889;20;1500
2893;20;1500
2897;20;2250
2901;20;750
2905;20;1500
2909;20;750
2913;20;1500
2917;20;750
2921;20;1500
2925;20;750
2929;20;1500
2933;20;1500
2937;20;1500
2941;20;1500
2945;20;750
2949;20;2250
2953;20;1500
2957;20;750
2961;20;1500
2965;20;750
2969;20;2250
2973;20;750
2977;20;1500
2981;20;750
2985;20;1500
2989;20;750
2993;20;1500
2997;20;2250
3001;20;750
3005;20;1500
3009;20;750
3013;20;1500
3017;20;750
3021;20;1500
3025;20;1500
3029;20;1500
3033;20;750
3037;20;1500
3041;20;1500
3045;20;750
3053;20;2250
3057;20;2250
3061;20;1500
3065;20;750
3069;20;1500
3073;20;1500
3077;20;1500
3081;20;750
3085;20;1500
3089;20;750
3093;20;1500
3097;20;1500
3101;20;750
3105;20;1500
3109;20;1500
3113;20;750
3117;20;1500
3121;20;1500
3125;20;1500
3129;20;750
3133;20;1500
3137;20;750
3141;20;1500
3145;20;1500
3149;20;750
3153;20;2250
3157;20;750
3161;20;1500
3165;20;1500
3169;20;750
3173;20;1500
3177;20;1500
3181;20;1500
3185;20;750
3189;20;3000
3193;20;750
3197;20;1500
3201;20;1500
3205;20;2250
3209;20;1500
3213;20;750
3217;20;1500
3221;20;3750
3225;20;750
3229;20;1500
3233;20;750
3237;20;3000
3241;20;750
3245;20;1500
3249;20;750
3253;20;1500
3257;20;1500
3261;20;750
3265;20;1500
3269;20;1500
3273;20;1500
3277;20;1500
3285;20;3000
3289;20;750
3293;20;1500
3297;20;750
3301;20;1500
3305;20;1500
3309;20;750
3313;20;1500
3317;20;750
3321;20;1500
3325;20;750
3329;20;1500
3333;20;750
3337;20;1500
3341;20;1500
3345;20;1500
3349;20;1500
3353;20;1500
3357;20;750
3361;20;1500
3365;20;750
3369;20;1500
3373;20;750
3377;20;2250
3381;20;750
3385;20;1500
3389;20;1500
3393;20;750
3397;20;1500
3401;20;750
3405;20;1500
3409;20;1500
3413;20;1500
3417;20;1500
3421;20;750
3425;20;1500
3429;20;2250
3433;20;1500
3437;20;750
3441;20;1500
3445;20;750
3449;20;2250
3480;20;1500
3484;20;1500
3488;20;750
3492;20;1500
3496;20;750
3500;20;1500
3504;20;1500
3508;20;750
3512;20;1500
3516;20;750
3520;20;1500
3524;20;1500
3528;20;1500
3532;20;1500
3536;20;750
3540;20;1500
3546;20;1500
3550;20;1500
3554;20;1500
3558;20;1500
3562;20;750
3566;20;1500
3570;20;1500
3574;20;750
3578;20;1500
3582;20;750
3586;20;1500
3590;20;750
3594;20;1500
3598;20;1500
3602;20;750
3606;20;1500
3610;20;1500
3614;20;750
3618;20;1500
3622;20;750
3626;20;1500
3630;20;750
3634;20;1500
3638;20;1500
3642;20;750
3646;20;1500
3650;20;750
3654;20;1500
3658;20;1500
3662;20;1500
3666;20;750
3670;20;1500
3674;20;750
3678;20;1500
3682;20;750
3686;20;1500
3690;20;1500
3694;20;750
3698;20;1500
3702;20;2250
3706;20;750
3710;20;1500
3714;20;2250
3718;20;750
3722;20;1500
3726;20;1500
3730;20;750
3734;20;1500
3738;20;750
3742;20;1500
3746;20;2250
3750;20;1500
3754;20;750
3758;20;1500
3762;20;1500
3766;20;750
3774;20;3000
3778;20;1500
3782;20;1500
3786;20;1500
3790;20;750
3794;20;1500
3798;20;1500
3802;20;1500
3806;20;750
3810;20;1500
3814;20;1500
3818;20;750
3822;20;1500
3826;20;1500
3830;20;750
3834;20;1500
3838;20;1500
3842;20;1500
3846;20;750
3850;20;1500
3854;20;1500
3858;20;1500
3862;20;750
3866;20;1500
3870;20;1500
3874;20;750
3878;20;1500
3882;20;2250
3886;20;750
3890;20;1500
3894;20;1500
3898;20;1500
3902;20;750
3906;20;1500
3910;20;1500
3914;20;1500
3918;20;750
3922;20;1500
3926;20;1500
3930;20;750
3934;20;1500
3938;20;1500
3942;20;1500
3946;20;1500
3950;20;2250
3954;20;1500
3958;20;1500
3962;20;750
3966;20;1500
3970;20;1500
3974;20;1500
3978;20;1500
3982;20;1500
3986;20;1500
3990;20;1500
3994;20;750
3998;20;1500
4007;20;3000
4011;20;3000
4015;20;750
4119;40;3750
4123;40;4500
4127;40;6000
4131;40;2250
4135;40;6000
4139;40;3750
4143;40;3750
4147;40;3000
4151;40;3000
4155;40;6750
4159;40;3750
4163;40;4500
4167;40;6000
4171;40;3000
4175;40;5250
4179;40;4500
4183;40;6000
4187;40;4500
4191;40;5250
4195;40;6000
4199;40;6750
4203;40;3750
4207;40;5250
4211;40;6000
4215;40;5250
4219;40;3750
4223;40;4500
4231;40;5250
4236;40;7500
4240;40;6000
4244;40;5250
4248;40;6000
4252;40;5250
4256;40;6000
4260;40;7500
4264;40;6000
4268;40;6000
4272;40;6000
4276;40;6750
4280;40;6000
4284;40;6000
4288;40;4500
4292;40;6000
4296;40;5250
4300;40;6000
4304;40;7500
4308;40;4500
4312;40;7500
4316;40;6000
4320;40;4500
4324;40;6750
4328;40;7500
4332;40;5250
4336;40;6750
4340;40;6750
4344;40;8250
4348;40;6000
4352;40;9000
4356;40;12000
4360;40;9750
4364;40;8250
4368;40;9000
4372;40;7500
4376;40;8250
4380;40;9000
4384;40;8250
4388;40;9750
4392;40;14250
4396;40;7500
4400;40;12000
4404;40;5250
4408;40;6750
4412;40;8250
4416;40;11250
4420;40;9750
4424;40;10500
4428;40;9750
4432;40;9750
4436;40;14250
4440;40;9000
4444;40;7500
4448;40;11250
4452;40;11250
4456;40;9750
4460;40;10500
4464;40;12000
4468;40;10500
4472;40;12750
4476;40;9000
4480;40;10500
4484;40;12750
4488;40;11250
4492;40;10500
4496;40;9750
4500;40;11250
4506;40;3000
4510;40;14250
4514;40;10500
4518;40;9000
4522;40;11250
4526;40;9000
4530;40;12000
4534;40;9750
4538;40;12750
4542;40;11250
4546;40;5250
4550;40;11250
4554;40;13500
4558;40;11250
4562;40;13500
4566;40;10500
4570;40;15000
4574;40;9750
4578;40;12000
4582;40;12000
4586;40;12750
4590;40;12750
4594;40;11250
4598;40;11250
4602;40;12750
4606;40;11250
4610;40;11250
4614;40;12750
4618;40;12750
4622;40;12750
4626;40;12000
4630;40;12000
4634;40;11250
4638;40;13500
4642;40;12000
4646;40;12750
4650;40;14250
4654;40;8250
4658;40;12750
4662;40;13500
4666;40;9000
4670;40;12750
4674;40;13500
4678;40;14250
4682;40;11250
4686;40;14250
4690;40;14250
4694;40;9750
4698;40;10500
4702;40;14250
4706;40;12000
4710;40;11250
4714;40;12000
4718;40;15000
4722;40;10500
4726;40;12750
4730;40;14250
4734;40;12750
4738;40;10500
4742;40;11250
4746;40;15750
4750;40;15000
4754;40;12000
4758;40;12000
4762;40;12000
4766;40;16500
4770;40;15000
4774;40;12750
4778;40;11250
4782;40;12750
4786;40;15750
4790;40;12750
4794;40;11250
4798;40;12750
4805;40;5250
4809;40;19500
4813;40;12000
4817;40;12750
4821;40;12000
4825;40;16500
4829;40;13500
4833;40;12000
4837;40;12000
4841;40;13500
4874;40;8250
4878;40;12750
4882;40;12000
4886;40;12000
4890;40;12750
4894;40;14250
4898;40;15750
4902;40;12750
4906;40;13500
4910;40;10500
4914;40;12750
4918;40;13500
4922;40;14250
4926;40;17250
4930;40;11250
4934;40;12750
4938;40;11250
4942;40;11250
4946;40;10500
4950;40;12000
4954;40;16500
4958;40;12750
4962;40;12000
4966;40;11250
4970;40;12750
4974;40;12000
4978;40;13500
4982;40;12000
4986;40;14250
4990;40;15000
4994;40;11250
4998;40;14250
5002;40;11250
5006;40;10500
5010;40;12750
5014;40;12000
5018;40;14250
5022;40;12000
5026;40;13500
5030;40;17250
5034;40;15750
5038;40;12000
5042;40;12000
5046;40;12750
5050;40;12000
5054;40;11250
5058;40;13500
5062;40;14250
5066;40;14250
5070;40;16500
5074;40;15000
5078;40;12000
5082;40;13500
5086;40;11250
5090;40;10500
5094;40;11250
5098;40;12000
5102;40;11250
5106;40;12000
5110;40;16500
5114;40;14250
5118;40;15000
5122;40;15750
5126;40;12750
5135;40;12000
5139;40;15000
5143;40;10500
5147;40;13500
5151;40;10500
5155;40;14250
5159;40;13500
5163;40;15000
5167;40;17250
5171;40;8250
5175;40;18000
5179;40;12750
5183;40;14250
5187;40;10500
5191;40;10500
5195;40;10500
5199;40;11250
5203;40;11250
5207;40;12000
5211;40;12000
5215;40;11250
5219;40;13500
5223;40;15000
5227;40;12750
5231;40;14250
5235;40;13500
5239;40;14250
5243;40;15750
5247;40;15000
5251;40;13500
5255;40;12750
5259;40;12000
5263;40;10500
5267;40;13500
5271;40;12000
5275;40;11250
5279;40;12750
5283;40;12000
5287;40;10500
5291;40;12750
5295;40;14250
5299;40;12750
5303;40;12000
5307;40;12000
5311;40;15000
5315;40;12000
5319;40;12000
5323;40;17250
5327;40;15750
5331;40;15750
5335;40;13500
5339;40;15750
5343;40;11250
5347;40;12750
5351;40;11250
5355;40;12750
5359;40;13500
5363;40;11250
5367;40;12000
5371;40;12000
5375;40;11250
5379;40;11250
5383;40;14250
5387;40;12000
5391;40;14250
5395;40;13500
5399;40;11250
5403;40;15750
5407;40;12750
5411;40;17250
5415;40;14250
5419;40;16500
5423;40;15750
5427;40;15000
5431;40;15000
5439;40;10500
5443;40;14250
5447;40;12750
5451;40;11250
5455;40;11250
5459;40;9000
5463;40;9750
5467;40;7500
5471;40;12000
5475;40;13500
5479;40;12000
5483;40;9750
5487;40;12000
5491;40;12000
5495;40;15000
5499;40;13500
5503;40;14250
5507;40;11250
5511;40;12750
5515;40;12750
5519;40;13500
5523;40;16500
5527;40;12750
5531;40;17250
5535;40;15750
5539;40;14250
5543;40;15750
5547;40;18000
5551;40;16500
5555;40;14250
5559;40;13500
5563;40;13500
5567;40;11250
5571;40;12000
5575;40;13500
5579;40;11250
5583;40;12750
5587;40;10500
5591;40;12000
5595;40;12000
5599;40;12750
5603;40;11250
5607;40;12000
5611;40;12000
5615;40;10500
5619;40;12750
5623;40;13500
5627;40;12750
5631;40;12750
5635;40;13500
5639;40;12000
5643;40;10500
5647;40;10500
5651;40;12750
5655;40;13500
5659;40;14250
5663;40;13500
5667;40;11250
5671;40;12000
5675;40;15000
5679;40;12750
5683;40;15750
5687;40;10500
5691;40;12750
5695;40;12000
5699;40;13500
5703;40;12000
5707;40;10500
5711;40;13500
5715;40;12000
5719;40;12000
5723;40;12000
5727;40;13500
5731;40;13500
5739;40;9000
5743;40;14250
5747;40;12750
5751;40;10500
5755;40;10500
5759;40;12000
5763;40;7500
5767;40;12750
5771;40;14250
5775;40;15000
5779;40;15000
5783;40;15000
5787;40;12000
5791;40;18000
5795;40;12750
5799;40;18750
5803;40;14250
5807;40;13500
5811;40;18750
5815;40;14250
5819;40;16500
5823;40;15750
5827;40;18000
5831;40;13500
5835;40;14250
5839;40;14250
5843;40;13500
5847;40;12750
5851;40;12750
5855;40;11250
5859;40;12750
5863;40;12750
5867;40;9750
5871;40;12750
5875;40;12000
5879;40;12000
5883;40;10500
5887;40;12000
5891;40;12000
5895;40;12750
5899;40;10500
5903;40;9750
5907;40;12000
5911;40;12000
5915;40;11250
5919;40;12000
5923;40;12000
5927;40;12750
5931;40;13500
5935;40;11250
5939;40;10500
5943;40;11250
5947;40;13500
5951;40;12750
5955;40;11250
5959;40;10500
5963;40;14250
5967;40;9750
5971;40;12000
5975;40;10500
5979;40;13500
5983;40;13500
5987;40;15750
5991;40;13500
5995;40;13500
5999;40;15000
6003;40;12750
6007;40;15000
6011;40;13500
6015;40;16500
6120;60;12750
6124;60;16500
6128;60;11250
6132;60;18000
6136;60;12000
6140;60;18000
6144;60;13500
6148;60;15000
6152;60;14250
6156;60;18750
6190;60;9000
6194;60;19500
6198;60;12750
6202;60;16500
6206;60;16500
6210;60;13500
6214;60;15750
6218;60;11250
6222;60;21000
6226;60;14250
6230;60;15750
6234;60;12000
6238;60;13500
6242;60;14250
6246;60;15000
6250;60;16500
6254;60;11250
6258;60;16500
6262;60;12750
6266;60;16500
6270;60;13500
6274;60;17250
6278;60;12750
6282;60;14250
6286;60;16500
6290;60;12000
6294;60;19500
6298;60;12750
6302;60;16500
6306;60;12750
6310;60;17250
6314;60;14250
6318;60;14250
6322;60;15000
6326;60;15000
6330;60;17250
6334;60;15000
6338;60;18000
6342;60;15000
6346;60;15750
6350;60;17250
6354;60;13500
6358;60;14250
6365;60;6000
6369;60;17250
6373;60;15750
6377;60;14250
6381;60;14250
6385;60;17250
6389;60;12750
6393;60;19500
6397;60;12750
6401;60;17250
6405;60;14250
6409;60;18000
6413;60;15000
6417;60;12750
6421;60;16500
6425;60;12000
6429;60;17250
6433;60;16500
6437;60;15750
6441;60;14250
6445;60;11250
6449;60;19500
6453;60;12750
6457;60;15000
6461;60;12750
6465;60;18750
6469;60;14250
6473;60;13500
6477;60;18750
6481;60;7500
6485;60;17250
6489;60;12000
6493;60;18000
6497;60;18000
6501;60;10500
6505;60;17250
6509;60;12750
6513;60;15750
6517;60;12750
6521;60;15000
6525;60;18000
6529;60;13500
6533;60;17250
6537;60;13500
6541;60;15750
6545;60;13500
6549;60;17250
6553;60;18750
6557;60;12750
6561;60;18000
6565;60;15750
6569;60;15750
6573;60;13500
6577;60;15000
6581;60;14250
6585;60;12000
6589;60;18000
6593;60;15750
6597;60;17250
6601;60;14250
6605;60;11250
6609;60;14250
6613;60;14250
6617;60;15750
6621;60;15000
6625;60;13500
6629;60;15000
6633;60;15000
6637;60;18000
6641;60;15750
6645;60;13500
6649;60;12750
6653;60;13500
6657;60;15000
6661;60;11250
6665;60;21750
6669;60;11250
6676;60;6750
6680;60;16500
6684;60;14250
6688;60;18750
6692;60;18750
6696;60;10500
6700;60;18000
6704;60;12000
6708;60;16500
6712;60;13500
6716;60;17250
6720;60;15000
6724;60;13500
6728;60;18000
6732;60;15000
6736;60;18750
6740;60;14250
6744;60;16500
6748;60;18000
6752;60;12750
6756;60;17250
6760;60;10500
6764;60;13500
6768;60;12750
6772;60;12000
6776;60;7500
6780;60;16500
6784;60;17250
6788;60;15000
6792;60;14250
6796;60;15750
6800;60;13500
6804;60;19500
6808;60;13500
6812;60;13500
6816;60;14250
6820;60;15000
6824;60;15000
6828;60;13500
6832;60;20250
6836;60;11250
6840;60;14250
6844;60;13500
6848;60;18750
6852;60;16500
6856;60;12750
6860;60;18000
6864;60;12750
6868;60;18000
6872;60;15000
6876;60;14250
6880;60;17250
6884;60;15000
6888;60;15750
6892;60;15000
6896;60;15750
6900;60;14250
6904;60;12000
6908;60;14250
6912;60;12000
6916;60;16500
6920;60;13500
6924;60;12000
6928;60;13500
6932;60;12750
6936;60;18750
6940;60;15000
6944;60;15000
6948;60;12750
6952;60;15750
6956;60;15000
6960;60;12000
6964;60;15000
6968;60;13500
6972;60;15000
6976;60;12750
6980;60;14250
6987;60;3750
6991;60;24000
6995;60;11250
6999;60;18750
7003;60;12750
7007;60;15750
7011;60;13500
7015;60;15750
7019;60;15000
7023;60;12000
7027;60;15750
7031;60;13500
7035;60;15000
7039;60;12750
7043;60;16500
7047;60;17250
7051;60;13500
7055;60;18000
7059;60;15750
7063;60;17250
7067;60;12750
7071;60;15000
7075;60;7500
7079;60;14250
7083;60;13500
7087;60;15000
7091;60;12750
7095;60;13500
7099;60;15000
7103;60;15000
7107;60;12000
7111;60;15000
7115;60;15000
7119;60;14250
7123;60;15000
7127;60;12750
7131;60;17250
7135;60;12000
7139;60;12750
7143;60;15000
7147;60;14250
7151;60;17250
7155;60;14250
7159;60;18750
7163;60;12000
7167;60;18000
7171;60;14250
7175;60;15000
7179;60;18000
7183;60;11250
7187;60;18750
7191;60;12750
7195;60;15750
7199;60;15000
7203;60;15000
7207;60;18000
7211;60;12750
7215;60;17250
7219;60;15000
7223;60;14250
7227;60;14250
7231;60;14250
7235;60;15750
7239;60;13500
7243;60;15000
7247;60;15000
7251;60;13500
7255;60;15000
7259;60;13500
7263;60;15750
7267;60;13500
7271;60;16500
7275;60;13500
7279;60;14250
7283;60;13500
7287;60;13500
7296;60;17250
7300;60;15750
7304;60;14250
7308;60;10500
7312;60;18750
7316;60;13500
7320;60;15000
7324;60;14250
7328;60;17250
7332;60;18000
7336;60;13500
7340;60;15000
7344;60;12750
7348;60;15000
7352;60;14250
7356;60;15000
7360;60;17250
7364;60;14250
7368;60;16500
7401;60;7500
7405;60;15750
7409;60;15000
7413;60;13500
7417;60;15750
7421;60;15000
7425;60;15000
7429;60;16500
7433;60;14250
7437;60;18000
7441;60;14250
7445;60;14250
7449;60;14250
7453;60;15000
7457;60;17250
7461;60;12750
7465;60;18000
7469;60;13500
7473;60;16500
7477;60;14250
7481;60;17250
7485;60;17250
7489;60;12000
7493;60;18750
7497;60;15000
7501;60;18000
7505;60;14250
7509;60;12750
7513;60;16500
7517;60;12750
7521;60;15000
7525;60;12750
7529;60;12750
7533;60;15000
7537;60;13500
7541;60;18000
7545;60;15000
7549;60;15750
7553;60;15000
7557;60;12750
7561;60;14250
7565;60;12000
7569;60;20250
